review_date,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_month
1995-11-24,US,53095677,R2XVQZDED8Q2H5,910311978,360983853.0,En Route to Global Occupation,Books,5,13,16,False,False,Ready for The Federation of Earth and a new constitution,This book reads like a journey of an author who lived the story he tells Thats exactly what it is Includes reproductions of documents attained from organizations who are willing to destroy the soveriegnty of all nations in favor of a world Govt Gary Kah served in the Reagan Administration as a high ranking official and became a infiltrator of the World Parliament and Constitution Assoc Written from a Christian perspective with a slant on Bible Prophecy Well documented Read in conjunction with William Jaspers Global Tyranny Step by Step to see the same story from a secular point of view,11
1995-09-27,US,52589298,R3JFMU69JUNMTO,034539061X,597643613.0,Negotiating Love,Books,5,4,4,False,False,How to stay together,The annotated resource list alone is worth the price of this book Put an end to warring with the other gender  this book is chock full of practical tips on resolving relationship issues And  its much cheaper than divorce Go for it,9
1995-11-09,US,53095810,R1O8J7W0A60O2R,446364967,500372789.0,The Turing Option (Questar Science Fiction),Books,5,5,7,False,True,About building a superintelligent machine,This adventure novel explains some of the theories in my nonfiction quotThe Society of MindquotTo find more about how the robot Sven was created there are additional chapters at  or ftpftpaimitedupubminskyoptionchapters Best wishes Marvin Minsky MI,11
1995-07-19,US,53096582,R1U2RAML67OKWM,471114251,574000000.0,Bitter Winds: A Memoir of My Years in China's Gulag,Books,4,9,9,False,False,Harry Wu could have taught Kafka a thing or two,quotBitter Windsquot is at once fascinating and horrifyingI knew that China was and still is a scary placeto be on the wrong side of the government but nothing can bring it home like a firsthand account Harry Wu spent 19 years of his life in prison camps and forced labor camps all over China for crimes no more serious than speaking his mind too openly on a few occasions He was forced to endure the most humiliating treatment imaginable under terrible conditions including near starvation during Chinas famines where the prisoners had it even worse than the normal citizens If you worry about the thought police read this book and it will put your worries in perspective  though certainly not to rest Now that Wu is again incarcerated in China where he was trying to gather more information on the forced labor system currently in operation this book is that much more timely,7
1995-10-03,US,53096168,R1TTPLRROKBSMV,899683282,339858237.0,The Stars My Destination,Books,5,1,1,False,False,Truly great story of obsession and awakeningSF classic,Now THIS book is so good that many writers and readers about a decade ago proclaimed this the best SF novel EVER quite the hyperbolic praise and rather well earned Bester was an ad man in the 50s who let his personal demons out by writing a little SF This book has been redone into a graphic novel quite recently about 1991 The Stars My Destination is about a man who after being shipwrecked and abandoned awakens to become an elemental of rage and anger Its got the Golden Age tone to the novel and the typefaces and scenes that were so different then are a little more common now Its a novellong chase scene essentially Hey you have the bucks somewhere Sell plasma or something but get a hold of this thing Another cool novel of his is The Demolished Man which is a science fiction novel and a whodunit posing the question quothow does a murder get committed if everyones a telepathquot Another great obsessionthemed book,10
1995-07-25,US,52948753,R21APAJE22JU6A,067974438X,415705723.0,"Tastes of Paradise: A Social History of Spices, Stimulants, and Intoxicants",Books,5,6,9,False,False,Simple and Lucid View of Stimulants Throughout History,This book is so easy to read that you might not believe its written by a serious German sociologist Especially given our current coffee craze its fascinating to see when different stimulants coffee tea chocolate etc came into popularity in history For example before the 17th century all they drank in England was coffee Then strangely they totally switched to tea and there doesnt appear to be any logical explanation But to sum up this is actually a FUN sociology book,7
1995-09-29,US,53094816,RT94SPZ5CHLK6,133627659,320981057.0,Criminal Justice Today: With Keys to Success,Books,5,6,7,False,False,Excellent Intro to Criminal Justice textbook,This book is used as the textbook for Indiana University Bloomingtons Intro to criminal justice class P100 As a freshman taking this course I find the book extremely interesting and easy to read I would highly recommend that instructors for Criminal Justice look at this book for an introductory course,9
1995-07-24,US,53096476,R16QU2W9UVUML4,441023622,385885559.0,"Another Fine Myth (Myth, Book 1)",Books,4,0,0,False,False,First book to the incredible Myth seriesFunny amp Adventurous,Skeeve apprentice to Garkin the Magician teams up with the Demon Aahz Other creatures that join them are a war unicorn a young dragon and a green haired beauty Together they must bring down a powerful mage who is bent on destroying everything in sight,7
1995-08-09,US,53052813,R2VRNK6WSQQA5O,881790338,362312407.0,The Elements of Typographic Style,Books,5,0,1,False,False,Very good book,Pleasent to view and readbr Highly recommended,8
1995-10-15,US,53096582,R1PS7G19KSGM0M,812515285,646002347.0,A Fire Upon The Deep (Zones of Thought),Books,3,1,2,False,False,Fun to read but not Vinges best work,Compared to some other books of his quotA Fire Upon The Deepquot is unfocussed and rambling The postulated variance of physical law in different zones of the galaxy seemed too artificial to buy into and though the various alien species are carefully constructed I generally didnt find them terribly compelling in comparison say to Nivens Puppeteers One of the more ambitious extrapolations of the Net that Ive read though,10
1995-11-20,US,53026422,R33R0DFKAO6ESU,441631215,832437752.0,Only A Trillion,Books,4,0,6,False,False,fantastic review,i am continually amazed and astounded,11
1995-07-22,US,53096510,R2OHZMLOPNMV7M,671671642,897000000.0,Growing a Business,Books,5,1,2,False,False,Very good book one of the best in my library,I think this guy is really on to something here Wish more people would read himI quote him in my web watch column at,7
1995-10-23,US,53096008,RR7Z2U9R6RHY6,316353957,53525621.0,Blue Highways: A Journey into America,Books,5,2,2,False,False,Journey across the lesser known byways of America,Mr Moons unforgetable journey to the off the beaten paths of America He captures the soul of our nation as it use to be Here are desciptions of the people that one rarely hears or reads about If you want to learn about what makes this country greatread Blue Highways It will give you inspiration to journey to the offbeat roads of America,10
1995-09-22,US,53096282,R2PXCLE4APVQG,713724935,512738510.0,Ufo Retrievals: The Recovery of Alien Spacecraft,Books,5,14,14,False,False,This is one of the most levelheaded books of the genre,Jenny Randles is a thoughtful and sceptical researcher who writes in a lucid and readable style In a field fraught with absolute rubbish nonesense and outandout fabrications Ms Randles is a breath of fresh air Her writing is wellresearched and factual but is openminded In short she writes in a scientific style that is an excellent read This book is a series of casehistories of 32 socalled alien spacecraft retrievals As Ms Randles clearly points out many of them were hoaxes or are almost certainly so The residual ones especially the Roswell and Rendlesham Forest cases which are now famous provide an intriguing and compelling web of corroborated accounts that are difficult to dismiss as both governments involved have repeatedly tried to do In the latter case dogged persistence by Ms Randles and her colleagues in England as well as collaborative Freedom of INformation Act inquiries in the US have unearthed a fascinating and even startling series of events that point to near unequivocably the occurrence of some very non normal extraordinary happenings just outside a secret USAF base in England during the early 1980s Everything that the author presents is clearly documented from a variety of sources and many are from official and unofficial government sources As a working scientist I would without question recommend this book to both scientific colleages as well as the lay audience It will surprise and unsettle those readers who have been willing to write off UFO sightings as mere products of active imaginations There is something real going on here and Jenny Randles covers a very difficult subject with aplomb and a critical but open mindset,9
1995-07-23,US,53094170,R2YS7NYUYEWWN0,837175089,711379523.0,Grey Eminence.,Books,5,26,29,False,False,Crucial study of problems between politics and religion,This is a brilliant investigation of the dangerous relations when we mix politics and religion This book is almost banned in Latin American countryes The reason we still suffer from this problem Please forgive my poor spelling and writing in English,7
1995-10-25,US,53060455,R4SZYHQ0XE1Q,385313837,326245620.0,Hula,Books,5,3,4,False,False,wonderfulamazingly accurate acount of girlhoodtextural,I read this book in one sitting She captures the smells feeling fears of young girls in the hot summer Read it,10
1995-09-30,US,53096149,R3MXEH9LLBA24B,449222187,170161909.0,Had We Never Loved (A Regency Romance),Books,5,3,3,False,False,A welltold tale of love between a gypsy lass and a lord,Patricia Veryan consistently turns out exciting storiesand this is one of her best She finally tells us thestory of Horatio Glendenning first introduced in The Golden Chronicles to the delight of her many fans who have been anxiously awaiting his tale This is one of her most romantic and heartwrenching stories The final volumes of Tales of the Jewelled Men can hardly come quickly enough for her many fans,9
1995-08-30,US,53096332,R1LLAY5W5PZUS4,671701800,860650224.0,Contact,Books,5,1,2,False,False,Read the book Its good,This is a book about first contact with aliens written by a prominent member of SETI the Search for ExtraTerrestrial Intelligence Sagan makes excellent use of SETIs current search methods as well as his own knowledge of astronomy and physics to bring a sense of reality to the book But above its literacy philosophy and speculation it is an entertaining story that is not overshadowed by gadgetry,8
1995-07-22,US,53096513,RJKD763RQMKLH,201539926,299000000.0,"C++ Programming Language, The",Books,5,2,3,False,False,A must for all who program or wish to program in C,This book has everything The examples are very usable and the explanations are clear All you could expect from the guy who invented the language,7
1995-08-30,US,53096317,R1L8P5AWJA4MX9,156149729,98269888.0,Byrne's Standard Book of Pool and Billards,Books,5,1,1,False,False,Outstanding mixture of good advice and enjoyable lore,Byrne presents a great tutorial for serious pool players covering American pool and billiards He discusses basics stance bridge grip techniques everything from straight shots to masse exercises and rules while interspersing his lessons with anecdotes histories and a good sense of humor Not only a practical and extremely helpful tutorial the Standard Book is also a great read It is far and away the best pool book Ive read Buy it if you play pool with any heart,8
1995-11-09,US,51925861,R2QYF10JPWP7BN,262510189,189809054.0,Ordinary Differential Equations (MIT Press),Books,5,32,35,False,False,A geometrical approach to differential equations,This is one of the few original books in the area of differential equations In his clear style Arnold presents the basics of differential equations He is more interested in understanding the solutions than in deriving them by analytical methods The text is well organized and there seem to be more figures than proofs although all proofs are there it just that they do not get in the way A must if you are in the area of chaos and dynamical systems RM,11
1995-09-07,US,53096310,R2OTTPXZG93NSH,671510053,357229344.0,The Shipping News,Books,5,0,1,False,False,Excellent story  downtoearth and also spiritual,The author tells an interesting story with realistic characters without resorting to stereotypes You learn a lot about Newfoundland and the people who live there but the facts are woven into the story so you dont get the feeling of an encyclopedia article I am a John Candy fan and I only wish the book could be made into a movie staring him as the main character as I continually visualized John in that role as I read the book Too late I know I would be very curious to know the authors reaction to this,9
1995-09-12,US,53096171,R344ZKZVHECQAB,670846384,963776027.0,Chloe Plus Olivia: An Anthology of Lesbian and Bisexual Literature from the 17th Century to the Present,Books,5,3,3,False,False,A wonderful anthology of lesbian poetry and literature,Lillian Faderman has done an impressive job of collecting poetic and literary works on lesbian topics and presenting them in the context of the authors lives and the literary climate of they time they were published This is an invaluable reference for anyone interested in lesbian or womens writings A must have,9
